MATCH: phishing_mails/259 -> similarity=3444.00, yara_score=0.00, total=3444.00
MATCH: phishing_mails/260 -> similarity=1398.00, yara_score=0.00, total=1398.00
MATCH: phishing_mails/261 -> similarity=1908.00, yara_score=0.00, total=1908.00
MATCH: phishing_mails/262 -> similarity=2621.00, yara_score=0.00, total=2621.00
NO MATCH: phishing_mails/263 -> similarity=446.00, yara_score=0.00, total=446.00
MATCH: phishing_mails/264 -> similarity=2046.00, yara_score=0.00, total=2046.00
MATCH: phishing_mails/265 -> similarity=1899.00, yara_score=0.00, total=1899.00
NO MATCH: phishing_mails/266 -> similarity=489.00, yara_score=0.00, total=489.00
MATCH: phishing_mails/267 -> similarity=2886.00, yara_score=0.00, total=2886.00
MATCH: phishing_mails/268 -> similarity=1151.00, yara_score=0.00, total=1151.00
MATCH: phishing_mails/269 -> similarity=1209.00, yara_score=0.00, total=1209.00
MATCH: phishing_mails/270 -> similarity=1105.00, yara_score=0.00, total=1105.00
MATCH: phishing_mails/271 -> similarity=2088.00, yara_score=0.00, total=2088.00
MATCH: phishing_mails/272 -> similarity=1808.00, yara_score=0.00, total=1808.00
MATCH: phishing_mails/273 -> similarity=770.00, yara_score=0.00, total=770.00
MATCH: phishing_mails/274 -> similarity=13300.00, yara_score=0.00, total=13300.00
NO MATCH: phishing_mails/275 -> similarity=518.00, yara_score=0.00, total=518.00
NO MATCH: phishing_mails/276 -> similarity=678.00, yara_score=0.00, total=678.00
MATCH: phishing_mails/277 -> similarity=1796.00, yara_score=0.00, total=1796.00
NO MATCH: phishing_mails/278 -> similarity=582.00, yara_score=0.00, total=582.00
NO MATCH: phishing_mails/279 -> similarity=636.00, yara_score=0.00, total=636.00
MATCH: phishing_mails/280 -> similarity=2657.00, yara_score=0.00, total=2657.00
MATCH: phishing_mails/281 -> similarity=1128.00, yara_score=0.00, total=1128.00
MATCH: phishing_mails/282 -> similarity=2642.00, yara_score=0.00, total=2642.00
MATCH: phishing_mails/283 -> similarity=1112.00, yara_score=0.00, total=1112.00
MATCH: phishing_mails/284 -> similarity=1047.00, yara_score=0.00, total=1047.00
MATCH: phishing_mails/285 -> similarity=741.00, yara_score=0.00, total=741.00
NO MATCH: phishing_mails/286 -> similarity=652.00, yara_score=0.00, total=652.00
MATCH: phishing_mails/287 -> similarity=780.00, yara_score=0.00, total=780.00
MATCH: phishing_mails/288 -> similarity=1045.00, yara_score=0.00, total=1045.00
MATCH: phishing_mails/289 -> similarity=1387.00, yara_score=0.00, total=1387.00
NO MATCH: phishing_mails/290 -> similarity=588.00, yara_score=0.00, total=588.00
MATCH: phishing_mails/291 -> similarity=2415.00, yara_score=0.00, total=2415.00
MATCH: phishing_mails/292 -> similarity=5079.00, yara_score=0.00, total=5079.00
NO MATCH: phishing_mails/293 -> similarity=486.00, yara_score=0.00, total=486.00
NO MATCH: phishing_mails/294 -> similarity=647.00, yara_score=0.00, total=647.00
MATCH: phishing_mails/295 -> similarity=1124.00, yara_score=0.00, total=1124.00
NO MATCH: phishing_mails/296 -> similarity=726.00, yara_score=0.00, total=726.00
MATCH: phishing_mails/297 -> similarity=3681.00, yara_score=0.00, total=3681.00
NO MATCH: phishing_mails/298 -> similarity=455.00, yara_score=0.00, total=455.00
MATCH: phishing_mails/299 -> similarity=1932.00, yara_score=0.00, total=1932.00
NO MATCH: phishing_mails/300 -> similarity=612.00, yara_score=0.00, total=612.00
MATCH: phishing_mails/301 -> similarity=3089.00, yara_score=0.00, total=3089.00
MATCH: phishing_mails/302 -> similarity=1396.00, yara_score=0.00, total=1396.00
